Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-03-02,US,2325900,1405879,897388,88345360,57148002,29958012,1213791,2151488,911028,null,null,898129,57148002,29962336,911361
Report,2021-03-02,US,null,null,null,null,null,null,null,null,null,1731614,1942788,null,null,null,null
Admin,2021-03-02,LTC,40803,14682,25753,7321806,4699388,2567306,21353,61253,39271,null,null,25756,4699388,2567310,39271
Admin,2021-03-03,US,2777684,1693721,1057154,91123044,58841723,31015166,1281243,2203355,896022,null,null,1067312,58841723,31029648,897789
Report,2021-03-03,US,null,null,null,null,null,null,null,null,null,1908873,2010790,null,null,null,null
Admin,2021-03-03,LTC,41320,12894,28116,7363126,4712282,2595422,17755,52101,33785,null,null,28118,4712282,2595428,33786
Admin,2021-03-04,US,3059921,1903998,1125005,94182965,60745721,32140171,1338601,2240337,876783,null,null,1172807,60745721,32202455,885353
Report,2021-03-04,US,null,null,null,null,null,null,null,null,null,2032374,2042676,null,null,null,null
Admin,2021-03-04,LTC,40785,11595,28783,7403911,4723877,2624205,13406,42150,28264,null,null,28783,4723877,2624211,28264
Admin,2021-03-05,US,3083603,1953707,1108366,97266568,62699428,33248537,1383240,2255777,849235,null,null,1231117,62699428,33433572,875327
Report,2021-03-05,US,null,null,null,null,null,null,null,null,null,2435246,2079147,null,null,null,null
Admin,2021-03-05,LTC,39762,12732,26540,7443673,4736609,2650745,12020,37795,25377,null,null,26547,4736609,2650758,25378
Admin,2021-03-06,US,1973658,1312157,649017,99240226,64011585,33897554,1411292,2265070,831732,null,null,821774,64011585,34255346,882464
Report,2021-03-06,US,null,null,null,null,null,null,null,null,null,2904229,2158020,null,null,null,null
Admin,2021-03-06,LTC,16599,5110,11304,7460272,4741719,2662049,10870,34098,22877,null,null,11363,4741719,2662121,22886
Admin,2021-03-07,US,874056,648554,221072,100114282,64660139,34118626,1429720,2275123,824515,null,null,322375,64660139,34577721,889711
Report,2021-03-07,US,null,null,null,null,null,null,null,null,null,2439427,2159392,null,null,null,null
Admin,2021-03-07,LTC,10699,3314,7149,7470971,4745033,2669198,10449,32532,21742,null,null,7151,4745033,2669272,21752
Admin,2021-03-08,US,2051056,1429492,608389,102165338,66089631,34727015,1478215,2306554,809484,null,null,801871,66089631,35379592,902197
Report,2021-03-08,US,null,null,null,null,null,null,null,null,null,1738102,2169981,null,null,null,null
Admin,2021-03-08,LTC,24097,7506,16319,7495068,4752539,2685517,9690,30580,20566,null,null,16321,4752539,2685593,20577
Admin,2021-03-09,US,2563510,1740034,809892,104728848,67829665,35536907,1525952,2340498,796985,null,null,1015661,67829665,36395253,918988
Report,2021-03-09,US,null,null,null,null,null,null,null,null,null,1602746,2151571,null,null,null,null
Admin,2021-03-09,LTC,27108,9340,17569,7522176,4761879,2703086,8927,28624,19397,null,null,17570,4761879,2703163,19407
Admin,2021-03-10,US,3010186,2019330,971557,107739034,69848995,36508464,1572467,2373712,784757,null,null,1210192,69848995,37605445,939399
Report,2021-03-10,US,null,null,null,null,null,null,null,null,null,2028692,2168688,null,null,null,null
Admin,2021-03-10,LTC,23700,7660,15822,7545876,4769539,2718908,8180,26107,17641,null,null,15823,4769539,2718986,17651
Admin,2021-03-11,US,3337867,2235587,1074486,111076901,72084582,37582950,1619837,2413419,777540,null,null,1340088,72084582,38945533,963296
Report,2021-03-11,US,null,null,null,null,null,null,null,null,null,2482603,2233006,null,null,null,null
Admin,2021-03-11,LTC,22612,6954,15401,7568488,4776493,2734309,7517,23511,15729,null,null,15407,4776493,2734393,15740
Admin,2021-03-12,US,3304969,2071815,1194603,114381870,74156397,38777553,1636710,2445043,789859,null,null,1452060,74156397,40397593,994860
Report,2021-03-12,US,null,null,null,null,null,null,null,null,null,2924112,2302844,null,null,null,null
Admin,2021-03-12,LTC,22288,7527,14449,7590776,4784020,2748758,6773,21014,14002,null,null,14461,4784020,2748854,14013
Admin,2021-03-13,US,2109762,1359800,729200,116491632,75516197,39506753,1643516,2464486,801314,null,null,970176,75516197,41367769,1016060
Report,2021-03-13,US,null,null,null,null,null,null,null,null,null,3234490,2350025,null,null,null,null
Admin,2021-03-13,LTC,10264,2655,7506,7601040,4786675,2756264,6422,20109,13459,null,null,7508,4786675,2756362,13463
Admin,2021-03-14,US,932676,633728,286510,117424308,76149925,39793263,1641398,2472860,810662,null,null,396030,76149925,41763799,1026582
Report,2021-03-14,US,null,null,null,null,null,null,null,null,null,2697779,2386932,null,null,null,null
Admin,2021-03-14,LTC,7942,1761,6066,7608982,4788436,2762330,6200,19715,13305,null,null,6069,4788436,2762431,13308
Admin,2021-03-15,US,2157253,1441583,691313,119581561,77591508,40484576,1643125,2488031,822509,null,null,819999,77591508,42583798,1029172
Report,2021-03-15,US,null,null,null,null,null,null,null,null,null,2021586,2427430,null,null,null,null
Admin,2021-03-15,LTC,15061,4396,10022,7624043,4792832,2772352,5756,18425,12405,null,null,10031,4792832,2772462,12409
Admin,2021-03-16,US,2759817,1882644,859121,122341378,79474152,41343697,1663498,2516075,829541,null,null,989371,79474152,43573169,1025416
Report,2021-03-16,US,null,null,null,null,null,null,null,null,null,1655996,2435037,null,null,null,null
Admin,2021-03-16,LTC,14403,4903,9317,7638446,4797735,2781669,5122,16610,11226,null,null,9320,4797735,2781782,11231
Admin,2021-03-17,US,3038539,2081509,938679,125379917,81555661,42282376,1672381,2520126,824845,null,null,1067857,81555661,44641026,1005083
Report,2021-03-17,US,null,null,null,null,null,null,null,null,null,2299771,2473762,null,null,null,null
Admin,2021-03-17,LTC,15001,4985,9898,7653447,4802720,2791567,4740,15367,10380,null,null,9900,4802720,2791682,10385
Admin,2021-03-18,US,3257262,2240446,998602,128637179,83796107,43280978,1673075,2508611,814004,null,null,1136778,83796107,45777804,976038
Report,2021-03-18,US,null,null,null,null,null,null,null,null,null,2692381,2503731,null,null,null,null
Admin,2021-03-18,LTC,14986,4873,9961,7668433,4807593,2801528,4443,14277,9603,null,null,9978,4807593,2801660,9609
Admin,2021-03-19,US,3185029,2166571,999608,131822208,85962678,44280586,1686612,2491476,786148,null,null,1149301,85962678,46927105,932787
Report,2021-03-19,US,null,null,null,null,null,null,null,null,null,2583810,2455116,null,null,null,null
Admin,2021-03-19,LTC,13906,4442,9276,7682339,4812035,2810804,4002,13080,8864,null,null,9303,4812035,2810963,8872
Admin,2021-03-20,US,2062717,1375076,677252,133884925,87337754,44957838,1688794,2484756,778726,null,null,813063,87337754,47740168,910342
Report,2021-03-20,US,null,null,null,null,null,null,null,null,null,3127679,2439857,null,null,null,null
Admin,2021-03-20,LTC,6753,1618,5041,7689092,4813653,2815845,3854,12578,8512,null,null,5044,4813653,2816007,8520
Admin,2021-03-21,US,964927,663720,295217,134849852,88001474,45253055,1693078,2489363,779970,null,null,343795,88001474,48083963,902880
Report,2021-03-21,US,null,null,null,null,null,null,null,null,null,3039915,2488734,null,null,null,null
Admin,2021-03-21,LTC,3435,1000,2382,7692527,4814653,2818227,3745,11935,7985,null,null,2383,4814653,2818390,7994
Admin,2021-03-22,US,2241343,1560425,667900,137091195,89561899,45920955,1710056,2501376,776626,null,null,751384,89561899,48835347,893078
Report,2021-03-22,US,null,null,null,null,null,null,null,null,null,2028324,2489697,null,null,null,null
Admin,2021-03-22,LTC,8066,2765,5083,7700593,4817418,2823310,3512,10935,7280,null,null,5094,4817418,2823484,7288
Admin,2021-03-23,US,2932996,1954144,961225,140024191,91516043,46882180,1720270,2526116,791212,null,null,1067051,91516043,49902398,904175
Report,2021-03-23,US,null,null,null,null,null,null,null,null,null,1707293,2497025,null,null,null,null
Admin,2021-03-23,LTC,7157,2862,4259,7707750,4820280,2827569,3221,9900,6557,null,null,4340,4820280,2827824,6577
Admin,2021-03-24,US,3410775,2167097,1222408,143434966,93683140,48104588,1732497,2579292,831745,null,null,1336808,93683140,51239206,942597
Report,2021-03-24,US,null,null,null,null,null,null,null,null,null,2256824,2490889,null,null,null,null
Admin,2021-03-24,LTC,7287,2986,4241,7715037,4823266,2831810,2935,8798,5749,null,null,4655,4823266,2832479,5828
Admin,2021-03-25,US,3678674,2228996,1424842,147113640,95912136,49529430,1730861,2639494,892636,null,null,1549173,95912136,52788379,1001510
Report,2021-03-25,US,null,null,null,null,null,null,null,null,null,2831442,2510755,null,null,null,null
Admin,2021-03-25,LTC,7665,3119,4450,7722702,4826385,2836260,2685,7752,4962,null,null,4719,4826385,2837198,5076
Admin,2021-03-26,US,3662758,2071783,1569605,150776398,97983919,51099035,1717320,2707741,974064,null,null,1692862,97983919,54481241,1079162
Report,2021-03-26,US,null,null,null,null,null,null,null,null,null,3379393,2624410,null,null,null,null
Admin,2021-03-26,LTC,6828,3118,3593,7729530,4829503,2839853,2495,6741,4150,null,null,3792,4829503,2840990,4289
Admin,2021-03-27,US,2379907,1350440,1015251,153156305,99334359,52114286,1713801,2753054,1022350,null,null,1102303,99334359,55583544,1120482
Report,2021-03-27,US,null,null,null,null,null,null,null,null,null,3496047,2677034,null,null,null,null
Admin,2021-03-27,LTC,1601,395,1191,7731131,4829898,2841044,2321,6005,3600,null,null,1206,4829898,2842196,3741
Admin,2021-03-28,US,1153888,664067,479643,154310193,99998426,52593929,1713850,2780048,1048696,null,null,508933,99998426,56092477,1144073
Report,2021-03-28,US,null,null,null,null,null,null,null,null,null,3281956,2711611,null,null,null,null
Admin,2021-03-28,LTC,1059,286,760,7732190,4830184,2841804,2219,5666,3368,null,null,760,4830184,2842956,3509
Admin,2021-03-29,US,2681781,1570043,1093798,156991974,101568469,53687727,1715224,2842968,1109539,null,null,1176702,101568469,57269179,1204833
Report,2021-03-29,US,null,null,null,null,null,null,null,null,null,2350144,2757586,null,null,null,null
Admin,2021-03-29,LTC,4206,1960,2167,7736396,4832144,2843971,2104,5114,2952,null,null,2284,4832144,2845240,3108
Admin,2021-03-30,US,3400971,1986668,1395707,160392945,103555137,55083434,1719871,2909822,1171608,null,null,1517208,103555137,58786387,1269141
Report,2021-03-30,US,null,null,null,null,null,null,null,null,null,1789510,2769331,null,null,null,null
Admin,2021-03-30,LTC,4199,2059,2113,7740595,4834203,2846084,1989,4692,2645,null,null,2569,4834203,2847809,2855
Admin,2021-03-31,US,3979360,2362684,1594489,164372305,105917821,56677923,1747812,2991048,1224762,null,null,1810638,105917821,60597025,1336831
Report,2021-03-31,US,null,null,null,null,null,null,null,null,null,2670947,2828491,null,null,null,null
Admin,2021-03-31,LTC,4099,2309,1720,7744694,4836512,2847804,1892,4236,2285,null,null,2328,4836512,2850137,2522
Admin,2021-04-01,US,4265644,2441530,1796376,168637949,108359351,58474299,1778174,3074901,1277838,null,null,2070158,108359351,62667183,1411257
Report,2021-04-01,US,null,null,null,null,null,null,null,null,null,3358112,2903730,null,null,null,null
Admin,2021-04-01,LTC,4606,2362,1349,7749300,4838874,2849153,1784,3799,1842,null,null,1862,4838874,2851999,2114
Admin,2021-04-02,US,3485850,2010449,1449821,172123799,110369800,59924120,1769412,3049628,1260726,null,null,1695159,110369800,64362342,1411585
Report,2021-04-02,US,null,null,null,null,null,null,null,null,null,3975059,2988825,null,null,null,null
Admin,2021-04-02,LTC,4978,1343,1366,7754278,4840217,2850519,1531,3535,1524,null,null,1706,4840217,2853705,1816
Admin,2021-04-03,US,2199655,1291108,894229,174323454,111660908,60818349,1760936,3023878,1243438,null,null,1081799,111660908,65444141,1408656
Report,2021-04-03,US,null,null,null,null,null,null,null,null,null,4081959,3072527,null,null,null,null
Admin,2021-04-03,LTC,1283,294,418,7755561,4840511,2850937,1516,3490,1413,null,null,418,4840511,2854123,1703
Admin,2021-04-04,US,715486,422365,286775,175038940,112083273,61105124,1726407,2961249,1215885,null,null,340408,112083273,65784549,1384581
Report,2021-04-04,US,null,null,null,null,null,null,null,null,null,3365324,3084436,null,null,null,null
Admin,2021-04-04,LTC,195,86,93,7755756,4840597,2851030,1488,3366,1318,null,null,94,4840597,2854217,1608
Admin,2021-04-05,US,2933603,1688112,1228930,177972543,113771385,62334054,1743274,2997224,1235190,null,null,1482806,113771385,67267355,1428310
Report,2021-04-05,US,null,null,null,null,null,null,null,null,null,2134049,3053566,null,null,null,null
Admin,2021-04-05,LTC,2717,1803,892,7758473,4842400,2851922,1465,3153,1136,null,null,1132,4842400,2855349,1444
Admin,2021-04-06,US,3757606,2212546,1525802,181730149,115983931,63859856,1775542,3048172,1253775,null,null,1935952,115983931,69203307,1488131
Report,2021-04-06,US,null,null,null,null,null,null,null,null,null,1404280,2998533,null,null,null,null
Admin,2021-04-06,LTC,3641,2274,1358,7762114,4844674,2853280,1496,3074,1028,null,null,2150,4844674,2857499,1384
Admin,2021-04-07,US,4047160,2429050,1599430,185777309,118412981,65459286,1785023,3057857,1254480,null,null,2118158,118412981,71321465,1532062
Report,2021-04-07,US,null,null,null,null,null,null,null,null,null,2884580,3029052,null,null,null,null
Admin,2021-04-07,LTC,3869,2681,1165,7765983,4847355,2854445,1549,3041,949,null,null,1857,4847355,2859356,1317
Admin,2021-04-08,US,4057282,2368777,1668143,189834591,120781758,67127429,1774630,3028091,1236161,null,null,2233718,120781758,73555183,1555428
Report,2021-04-08,US,null,null,null,null,null,null,null,null,null,3403061,3035473,null,null,null,null
Admin,2021-04-08,LTC,3428,2221,1189,7769411,4849576,2855634,1529,2873,926,null,null,2023,4849576,2861379,1340
Admin,2021-04-09,US,4103682,2366245,1712278,193938273,123148003,68839707,1825458,3116353,1273655,null,null,2287744,123148003,75842927,1640083
Report,2021-04-09,US,null,null,null,null,null,null,null,null,null,3958065,3033045,null,null,null,null
Admin,2021-04-09,LTC,3335,2265,1051,7772746,4851841,2856685,1661,2638,881,null,null,1867,4851841,2863246,1363
Admin,2021-04-10,US,2745984,1672563,1060118,196684257,124820566,69899825,1879951,3194400,1297354,null,null,1560720,124820566,77403647,1708500
Report,2021-04-10,US,null,null,null,null,null,null,null,null,null,4629928,3111327,null,null,null,null
Admin,2021-04-10,LTC,309,118,189,7773055,4851959,2856874,1635,2499,848,null,null,190,4851959,2863436,1330
Admin,2021-04-11,US,1337518,816168,515194,198021775,125636734,70415019,1936209,3283262,1329985,null,null,755216,125636734,78158863,1767759
Report,2021-04-11,US,null,null,null,null,null,null,null,null,null,3579422,3141912,null,null,null,null
Admin,2021-04-11,LTC,406,80,324,7773461,4852039,2857198,1635,2529,881,null,null,335,4852039,2863771,1364
Admin,2021-04-12,US,2851413,1590659,1246740,200873188,127227393,71661759,1922287,3271520,1332529,null,null,1603261,127227393,79762124,1784967
Report,2021-04-12,US,null,null,null,null,null,null,null,null,null,2644914,3214893,null,null,null,null
Admin,2021-04-12,LTC,2351,1606,727,7775812,4853645,2857925,1606,2477,858,null,null,1193,4853645,2864964,1373
Admin,2021-04-13,US,3316496,1708111,1592862,204189684,128935504,73254621,1850225,3208505,1342109,null,null,1615518,128935504,81377642,1739190
Report,2021-04-13,US,null,null,null,null,null,null,null,null,null,2590736,3384387,null,null,null,null
Admin,2021-04-13,LTC,2312,1442,853,7778124,4855087,2858778,1488,2287,785,null,null,853,4855087,2865817,1188
Admin,2021-04-14,US,3518180,1705115,1797567,207707864,130640619,75052188,1746805,3132936,1370415,null,null,1800532,130640619,83178174,1693815
Report,2021-04-14,US,null,null,null,null,null,null,null,null,null,2509055,3330740,null,null,null,null
Admin,2021-04-14,LTC,1745,1182,558,7779869,4856269,2859336,1273,1983,699,null,null,558,4856269,2866375,1002
Admin,2021-04-15,US,3541858,1713355,1813738,211249722,132353974,76865926,1653174,3059304,1391214,null,null,1815918,132353974,84994092,1634129
Report,2021-04-15,US,null,null,null,null,null,null,null,null,null,3525204,3348189,null,null,null,null
Admin,2021-04-15,LTC,2906,1857,1047,7782775,4858126,2860383,1221,1909,678,null,null,1047,4858126,2867422,863
Admin,2021-04-16,US,3423052,1607553,1801271,214672774,133961527,78667197,1544789,2962071,1403927,null,null,1802920,133961527,86797012,1564869
Report,2021-04-16,US,null,null,null,null,null,null,null,null,null,3965883,3349306,null,null,null,null
Admin,2021-04-16,LTC,2083,1182,883,7784858,4859308,2861266,1067,1730,654,null,null,884,4859308,2868306,722
Admin,2021-04-17,US,2240292,1135827,1098015,216913066,135097354,79765212,1468113,2889829,1409341,null,null,1098451,135097354,87895463,1498830
Report,2021-04-17,US,null,null,null,null,null,null,null,null,null,3588990,3200601,null,null,null,null
Admin,2021-04-17,LTC,134,63,70,7784992,4859371,2861336,1059,1705,637,null,null,70,4859371,2868376,705
Admin,2021-04-18,US,1026414,507321,515885,217939480,135604675,80281097,1423992,2845386,1409440,null,null,516094,135604675,88411557,1464670
Report,2021-04-18,US,null,null,null,null,null,null,null,null,null,3534901,3194240,null,null,null,null
Admin,2021-04-18,LTC,90,38,52,7785082,4859409,2861388,1053,1660,599,null,null,52,4859409,2868428,665
Admin,2021-04-19,US,2410678,1054560,1345755,220350158,136659235,81626852,1347406,2782424,1423585,null,null,1347074,136659235,89758631,1428072
Report,2021-04-19,US,null,null,null,null,null,null,null,null,null,2174495,3127038,null,null,null,null
Admin,2021-04-19,LTC,1540,1071,467,7786622,4860480,2861855,976,1544,561,null,null,467,4860480,2868895,561
Admin,2021-04-20,US,3011117,1323505,1675121,223361275,137982740,83301973,1292462,2738798,1435336,null,null,1675733,137982740,91434364,1436674
Report,2021-04-20,US,null,null,null,null,null,null,null,null,null,1806929,3015065,null,null,null,null
Admin,2021-04-20,LTC,2230,1873,356,7788852,4862353,2862211,1038,1532,490,null,null,356,4862353,2869251,490
Admin,2021-04-21,US,3163477,1293317,1858779,226524752,139276057,85160752,1233634,2688126,1444081,null,null,1859529,139276057,93293893,1445102
Report,2021-04-21,US,null,null,null,null,null,null,null,null,null,2563671,3022868,null,null,null,null
Admin,2021-04-21,LTC,2347,1578,753,7791199,4863931,2862964,1095,1618,518,null,null,753,4863931,2870004,518
Admin,2021-04-22,US,3230605,1338936,1880988,229755357,140614993,87041740,1180146,2643662,1453688,null,null,1881542,140614993,95175435,1454477
Report,2021-04-22,US,null,null,null,null,null,null,null,null,null,2995734,2947229,null,null,null,null
Admin,2021-04-22,LTC,2310,1632,668,7793509,4865563,2863632,1062,1533,464,null,null,668,4865563,2870672,464
Admin,2021-04-23,US,3019441,1277265,1732001,232774798,141892258,88773741,1132962,2586003,1443792,null,null,1732540,141892258,96907975,1444423
Report,2021-04-23,US,null,null,null,null,null,null,null,null,null,3374587,2862758,null,null,null,null
Admin,2021-04-23,LTC,1216,784,429,7794725,4866347,2864061,1006,1409,399,null,null,429,4866347,2871101,399
Admin,2021-04-24,US,2050396,961746,1083199,234825194,142854004,89856940,1108093,2558875,1441675,null,null,1086695,142854004,97994670,1442743
Report,2021-04-24,US,null,null,null,null,null,null,null,null,null,3318230,2824078,null,null,null,null
Admin,2021-04-24,LTC,93,37,55,7794818,4866384,2864116,1002,1403,397,null,null,55,4866384,2871156,397
Admin,2021-04-25,US,927540,474880,450064,235752734,143328884,90307004,1103458,2544750,1432272,null,null,454252,143328884,98448922,1433909
Report,2021-04-25,US,null,null,null,null,null,null,null,null,null,3020948,2750656,null,null,null,null
Admin,2021-04-25,LTC,71,19,43,7794889,4866403,2864159,999,1401,396,null,null,44,4866403,2871200,396
Admin,2021-04-26,US,2037723,824674,1205573,237790457,144153558,91512577,1070618,2491471,1412246,null,null,1220125,144153558,99669047,1415773
Report,2021-04-26,US,null,null,null,null,null,null,null,null,null,2107046,2741021,null,null,null,null
Admin,2021-04-26,LTC,1361,983,376,7796250,4867386,2864535,987,1375,383,null,null,386,4867386,2871586,384
Admin,2021-04-27,US,2498897,986899,1503214,240289354,145140457,93015791,1022531,2418297,1387688,null,null,1545433,145140457,101214480,1397159
Report,2021-04-27,US,null,null,null,null,null,null,null,null,null,1639215,2717062,null,null,null,null
Admin,2021-04-27,LTC,2660,1906,748,7798910,4869292,2865283,991,1436,439,null,null,823,4869292,2872409,451
Admin,2021-04-28,US,2764886,1073943,1682667,243054240,146214400,94698458,991192,2361355,1362529,null,null,1744593,146214400,102959073,1380740
Report,2021-04-28,US,null,null,null,null,null,null,null,null,null,2231745,2669644,null,null,null,null
Admin,2021-04-28,LTC,2500,1803,694,7801410,4871095,2865977,1023,1458,430,null,null,736,4871095,2873145,448
Admin,2021-04-29,US,2743734,1062890,1671749,245797974,147277290,96370207,951757,2291802,1332638,null,null,1747197,147277290,104706270,1361547
Report,2021-04-29,US,null,null,null,null,null,null,null,null,null,2721079,2630407,null,null,null,null
Admin,2021-04-29,LTC,2421,1788,563,7803831,4872883,2866540,1046,1474,415,null,null,777,4872883,2873922,464
Admin,2021-04-30,US,2600831,1022388,1570330,248398805,148299678,97940537,915346,2232001,1309542,null,null,1651715,148299678,106357985,1350001
Report,2021-04-30,US,null,null,null,null,null,null,null,null,null,2799184,2548207,null,null,null,null
Admin,2021-04-30,LTC,1763,1272,424,7805594,4874155,2866964,1115,1552,415,null,null,521,4874155,2874443,477
Admin,2021-05-01,US,1636386,650352,980654,250035191,148950030,98921191,870861,2172856,1294893,null,null,1035691,148950030,107393676,1342715
Report,2021-05-01,US,null,null,null,null,null,null,null,null,null,3303794,2546144,null,null,null,null
Admin,2021-05-01,LTC,105,74,29,7805699,4874229,2866993,1121,1554,411,null,null,30,4874229,2874473,473
Admin,2021-05-02,US,813525,316224,495254,250848716,149266254,99416445,848196,2156568,1301349,null,null,530527,149266254,107924203,1353611
Report,2021-05-02,US,null,null,null,null,null,null,null,null,null,2127998,2418580,null,null,null,null
Admin,2021-05-02,LTC,38,26,12,7805737,4874255,2867005,1122,1549,407,null,null,13,4874255,2874486,469
Admin,2021-05-03,US,1771865,603231,1162740,252620581,149869485,100579185,816561,2118589,1295230,null,null,1258537,149869485,109182740,1359099
Report,2021-05-03,US,null,null,null,null,null,null,null,null,null,1188734,2287393,null,null,null,null
Admin,2021-05-03,LTC,1239,834,402,7806976,4875089,2867407,1100,1532,410,null,null,499,4875089,2874985,485
Admin,2021-05-04,US,2192081,757367,1427715,254812662,150626852,102006900,783771,2074758,1284444,null,null,1517588,150626852,110700328,1355121
Report,2021-05-04,US,null,null,null,null,null,null,null,null,null,988846,2194483,null,null,null,null
Admin,2021-05-04,LTC,1796,1269,527,7808772,4876358,2867934,1009,1408,379,null,null,689,4876358,2875674,466
Admin,2021-05-05,US,2139479,723400,1409481,256952141,151350252,103416381,733693,1985414,1245418,null,null,1496313,151350252,112196641,1319652
Report,2021-05-05,US,null,null,null,null,null,null,null,null,null,1797771,2132487,null,null,null,null
Admin,2021-05-05,LTC,2076,1286,789,7810848,4877644,2868723,936,1348,392,null,null,898,4877644,2876572,489
Admin,2021-05-06,US,2050176,668493,1367984,259002317,152018745,104784365,677351,1886334,1202023,null,null,1450016,152018745,113646657,1277198
Report,2021-05-06,US,null,null,null,null,null,null,null,null,null,2406932,2087608,null,null,null,null
Admin,2021-05-06,LTC,2426,1835,522,7813274,4879479,2869245,942,1349,386,null,null,742,4879479,2877314,484
Admin,2021-05-07,US,1675900,530327,1141270,260678217,152549072,105925635,607056,1754201,1140728,null,null,1204672,152549072,114851329,1213334
Report,2021-05-07,US,null,null,null,null,null,null,null,null,null,2805581,2088522,null,null,null,null
Admin,2021-05-07,LTC,1080,540,535,7814354,4880019,2869780,838,1251,402,null,null,641,4880019,2877955,501
Admin,2021-05-08,US,845232,251843,589539,261523449,152800915,106515174,550126,1641179,1084855,null,null,620497,152800915,115471826,1154021
Report,2021-05-08,US,null,null,null,null,null,null,null,null,null,2567872,1983391,null,null,null,null
Admin,2021-05-08,LTC,52,27,23,7814406,4880046,2869803,831,1243,401,null,null,23,4880046,2877978,500
Admin,2021-05-09,US,75932,18989,56841,261599381,152819904,106572015,507664,1535809,1022224,null,null,58957,152819904,115530783,1086654
Report,2021-05-09,US,null,null,null,null,null,null,null,null,null,2369784,2017931,null,null,null,null
Admin,2021-05-09,LTC,2,0,2,7814408,4880046,2869805,827,1238,400,null,null,2,4880046,2877980,499
Admin,2021-05-10,US,0,0,0,261599381,152819904,106572015,421488,1282685,856119,null,null,0,152819904,115530783,906863
Report,2021-05-10,US,null,null,null,null,null,null,null,null,null,1882392,2117025,null,null,null,null
Admin,2021-05-10,LTC,0,0,0,7814408,4880046,2869805,708,1061,343,null,null,0,4880046,2877980,427
