Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-01-01,LTC,1609,1605,4,311345,304995,477,35717,36171,63,null,null,4,304995,477,62
Admin,2021-01-02,US,249913,242902,2286,5842232,5678110,27788,403889,415770,2536,null,null,2294,5678110,28179,2560
Report,2021-01-02,US,null,null,null,null,null,null,null,null,null,290402,324664,null,null,null,null
Admin,2021-01-02,LTC,46550,45834,38,357895,350829,515,40945,41483,66,null,null,38,350829,515,66
Admin,2021-01-03,US,129768,123444,2136,5972000,5801554,29924,408535,421036,2791,null,null,2138,5801554,30317,2809
Report,2021-01-03,US,null,null,null,null,null,null,null,null,null,185279,342276,null,null,null,null
Admin,2021-01-03,LTC,32562,31876,57,390457,382705,572,44238,44855,73,null,null,57,382705,572,73
Admin,2021-01-04,US,630386,575066,42357,6602386,6376620,72281,410521,428857,8496,null,null,42371,6376620,72688,8515
Report,2021-01-04,US,null,null,null,null,null,null,null,null,null,239472,354169,null,null,null,null
Admin,2021-01-04,LTC,85874,84978,58,476331,467683,630,47910,48568,78,null,null,58,467683,630,78
Admin,2021-01-05,US,794889,698857,82611,7397275,7075477,154892,412737,441708,19846,null,null,82625,7075477,155313,19866
Report,2021-01-05,US,null,null,null,null,null,null,null,null,null,337114,357375,null,null,null,null
Admin,2021-01-05,LTC,96853,96254,103,573184,563937,733,50450,51032,82,null,null,103,563937,733,82
Admin,2021-01-06,US,990451,806524,166523,8387726,7882001,321415,413629,465485,42825,null,null,166545,7882001,321858,42848
Report,2021-01-06,US,null,null,null,null,null,null,null,null,null,600055,380018,null,null,null,null
Admin,2021-01-06,LTC,94892,94003,176,668076,657940,909,52949,53501,72,null,null,176,657940,909,72
Admin,2021-01-07,US,1127342,836003,269715,9515068,8718004,591130,475593,567384,81055,null,null,269727,8718004,591585,81080
Report,2021-01-07,US,null,null,null,null,null,null,null,null,null,730700,402507,null,null,null,null
Admin,2021-01-07,LTC,123190,122009,341,791266,779949,1250,68080,68790,111,null,null,341,779949,1250,111
Admin,2021-01-08,US,1191572,817180,351302,10706640,9535184,942432,585711,730617,130990,null,null,351323,9535184,942908,131003
Report,2021-01-08,US,null,null,null,null,null,null,null,null,null,870465,464784,null,null,null,null
Admin,2021-01-08,LTC,113946,111860,1249,905212,891809,2499,83831,84838,289,null,null,1249,891809,2499,288
Admin,2021-01-09,US,489390,357292,124476,11196030,9892476,1066908,602052,764828,148446,null,null,124481,9892476,1067389,148458
Report,2021-01-09,US,null,null,null,null,null,null,null,null,null,790484,536224,null,null,null,null
Admin,2021-01-09,LTC,50578,49662,337,955790,941471,2836,84377,85413,332,null,null,337,941471,2836,331
Admin,2021-01-10,US,238380,167706,67049,11434410,10060182,1133957,608375,780344,157719,null,null,67059,10060182,1134448,157733
Report,2021-01-10,US,null,null,null,null,null,null,null,null,null,727095,613626,null,null,null,null
Admin,2021-01-10,LTC,35532,35039,283,991322,976510,3119,84829,85837,364,null,null,283,976510,3119,363
Admin,2021-01-11,US,1030247,696900,314044,12464657,10757082,1448001,625780,837467,196531,null,null,314063,10757082,1448511,196546
Report,2021-01-11,US,null,null,null,null,null,null,null,null,null,419440,639336,null,null,null,null
Admin,2021-01-11,LTC,143416,131138,11374,1134738,1107648,14493,91424,94058,1980,null,null,11374,1107648,14493,1980
Admin,2021-01-12,US,1209107,882276,305475,13673764,11639358,1753476,651983,896641,228369,null,null,305497,11639358,1754008,228385
Report,2021-01-12,US,null,null,null,null,null,null,null,null,null,516858,665014,null,null,null,null
Admin,2021-01-12,LTC,156441,142098,13411,1291179,1249746,27904,97973,102570,3882,null,null,13411,1249746,27904,3881
Admin,2021-01-13,US,1281300,997933,263760,14955064,12637291,2017236,679327,938191,242260,null,null,263773,12637291,2017781,242274
Report,2021-01-13,US,null,null,null,null,null,null,null,null,null,987485,720361,null,null,null,null
Admin,2021-01-13,LTC,159909,143240,15805,1451088,1392986,43709,105007,111858,6114,null,null,15805,1392986,43709,6114
